기준년월,기준년,기준월,시도코드,시도명,상영영화수,영화관람객수,지출금액,인구당영화관람객수,영화관람객수점수,지출금액점수,종합점수,기준상영영화수,기준영화관람객수,기준지출금액
201901,2019,1,0,전국,370,18122443,151161478196.0,349.67666,137.5227,108.25541,122.88905,234.58333,2410351.25,25540506805.66667
201901,2019,1,11,서울시,230,4465221,38595296956.0,457.20759,179.81303,146.67747,163.24525,234.58333,2410351.25,25540506805.66667
201901,2019,1,26,부산시,108,1269274,10633895350.0,369.16183,145.18593,114.79219,129.98906,234.58333,2410351.25,25540506805.66667
201901,2019,1,27,대구시,105,937861,7986547030.0,381.18512,149.91451,120.48003,135.19727,234.58333,2410351.25,25540506805.66667
201901,2019,1,28,인천시,88,947468,7909419120.0,320.53279,126.06084,99.31413,112.68749,234.58333,2410351.25,25540506805.66667
201901,2019,1,29,광주시,79,652610,5314382870.0,447.04459,175.81608,135.11654,155.46631,234.58333,2410351.25,25540506805.66667
201901,2019,1,30,대전시,73,624284,5300359300.0,419.34138,164.92081,132.14459,148.5327,234.58333,2410351.25,25540506805.66667
201901,2019,1,31,울산시,48,409109,3424382090.0,354.27257,139.3302,110.06247,124.69634,234.58333,2410351.25,25540506805.66667
201901,2019,1,36,세종시,33,92356,749879640.0,291.5149,114.64853,87.85081,101.24967,234.58333,2410351.25,25540506805.66667
201901,2019,1,41,경기도,119,4401927,36734073090.0,336.26502,132.2481,104.15173,118.19991,234.58333,2410351.25,25540506805.66667
201901,2019,1,43,충청북도,65,490390,4001325400.0,306.6557,120.60319,92.86924,106.73621,234.58333,2410351.25,25540506805.66667
201901,2019,1,44,충청남도,86,624532,4993399710.0,293.78722,115.5422,87.18326,101.36273,234.58333,2410351.25,25540506805.66667
201901,2019,1,45,전라북도,74,548026,4354272680.0,298.72796,117.48532,88.09452,102.78992,234.58333,2410351.25,25540506805.66667
201901,2019,1,46,전라남도,47,442343,3340854650.0,235.42608,92.58962,65.99508,79.29235,234.58333,2410351.25,25540506805.66667
201901,2019,1,47,경상북도,89,618580,4924809260.0,231.33091,90.97905,68.35744,79.66824,234.58333,2410351.25,25540506805.66667
